,QUESTION,DIFF,WEIGHT,TYPE ,CORRECT,OPTION1,OPTION2,OPTION3,OPTION4
1,OOPP paradigm based on the concept of ,Easy,1,Evaluation-Android,b) objects,a) functions,b) objects,c) statements,d) all
2,Class often known as,Easy,1,Evaluation-Android,a) signature,a) signature,b) methods,c) all,d) none
3,Functions often known as ,Easy,1,Evaluation-Android,methods,signature,methods,model,none
4,objects have a notion of,Easy,1,Evaluation-Android,both,this ,self,both,none
5,Objects can _____  with one another,Easy,1,Evaluation-Android,interact,define,interact,initialize,none
6,OOP first languages,Easy,1,Evaluation-Android,simula,smalltalk,c++,simula,java
7,Android uses,Easy,1,Evaluation-Android,both,java,xml,both,none
8,Defining web pages and handling the HTTPrequests using,Easy,1,Evaluation-Android,both, view technologies,frameworks,both,none
9,"As a subcategory of web frameworks, view-layer frameworks often ____  with web framework",Easy,1,Evaluation-Android,overlap,overlap,extend,inherit,none
10,Java web applications are,Easy,1,Evaluation-Android,all,Java Servlets., Core Java,JavaServer Pages,all
11,Web-based software libraries provides ,Easy,1,Evaluation-Android,all,user interface,view-layer,all,none
12,OOP Concepts are,Easy,1,Evaluation-Android,all,Inheritance,Association,Aggregation,all
13,Abstraction is the concept of ,Easy,1,Evaluation-Android,both,hiding the internal details,describing things in simple,both,none
14,Java are,Easy,1,Evaluation-Android,platform independent,platform dependent,platform independent,both,none
15,"There are many ways to achieve abstraction in object oriented programming, such as ",Easy,1,Evaluation-Android,both,encapsulation,inheritance,both,none
16,Abstraction in object oriented programming,Easy,1,Evaluation-Android,esential,esential,optional,user dependent,problem dependent
17,Encapsulation is the technique used to implement ____ in object oriented programming,Easy,1,Evaluation-Android,Abstraction,Aggregation,Association,abstraction,none
18,Encapsulation in java is achieved using ,Easy,1,Evaluation-Android,all,private,protected,public,all
19,Encapsulation is used for access restriction to,Easy,1,Evaluation-Android,both,class members,methods,both,none
20,Access modifier ____ are used for encapsulation in object oriented programming,Easy,1,Evaluation-Android, keywords , keywords ,symbols,notations,mechanisms
21,Access modifier,Easy,1,Evaluation-Android,all,private,protected,public,all
22,Polymorphism is the concept where an object behaves _____ in different situations,Easy,1,Evaluation-Android,differently,identically,differently,intelligently,all
23,There are ___  types of polymorphism ,Easy,1,Evaluation-Android,2,1,2,3,4
24, Polymorphism occur in,Easy,1,Evaluation-Android,both,compile time,runtime,both,none
25,Compile time polymorphism is achieved by ,Easy,1,Evaluation-Android,method overloading,operator overloading,method overloading,both,none
26,Runtime polymorphism is implemented when we have __ relationship between objects,Easy,1,Evaluation-Android,IS-A,IS-A,IS-B,IS-C,IS-E
27,Runtime polymorphism occur in,Easy,1,Evaluation-Android,Inheritance,Inheritance,method overloading,both,none
28,___ has to override the superclass method for runtime polymorphism,Easy,1,Evaluation-Android,subclass,subclass,baseclass,both,none
29,Subclass has to override the ___ method for runtime polymorphism,Easy,1,Evaluation-Android,both,superclass ,baseclass,both,none
30,"If we are working in terms of superclass, the actual implementation class is decided at",Easy,1,Evaluation-Android,runtime,compile time,runtime,both,none
31,Compiler is not able to decide which class method will be invoked when ____ polymorphism,Easy,1,Evaluation-Android,runtime,compile time,runtime,both,none
32,Dynamic method dispatch at,Medium,1,Evaluation-Android,runtime,compile time,runtime,both,none
33,This ___ is done at runtime,Easy,1,Evaluation-Android,decision,offer,decision,choice,none
34,Inheritance is the object oriented programming concept where an object is based on another,Easy,1,Evaluation-Android,object,object,method,both,none
35,The object that is getting inherited is called,Easy,1,Evaluation-Android,superclass,subclass,superclass,derived class,all
36,Inheritance is the mechanism of code,Easy,1,Evaluation-Android,reuse,recycle,reuse,optimization,none
37,Superclass is,Easy,1,Evaluation-Android,base class,derived class,main class,base class,all
38,The object that inherits the superclass is called ,Easy,1,Evaluation-Android,subclass,base class,superclass,subclass,all
39,We use ___  keyword in java to implement inheritance,Easy,1,Evaluation-Android,extends,implements,extends,both,none
40,How many class can be extends for a class,Easy,1,Evaluation-Android,1,1,2,multiple,all
41,How many class can be implements for a class,Easy,1,Evaluation-Android,all,1,2,multiple,all
42,Association is the OOPS concept to define the ____ between objects,Medium,1,Evaluation-Android,relationship,access ,relationship,both,none
43,Association defines the ____ between objects,Easy,1,Evaluation-Android,multiplicity,simplicity,multiplicity,access,all
44,Aggregation is a special ___  of association,Easy,1,Evaluation-Android,type,type,case,instance,all
45,"In aggregation, objects have their own life cycle but there is an ",Medium,1,Evaluation-Android,ownership,ownership,membership,both,none
46,“HAS-A” relationship between objects and ownership then it’s a ___ of aggregation,Easy,1,Evaluation-Android,case,type,case,both,none
47,Composition is a ___ of aggregation,Easy,1,Evaluation-Android,special case,general case,special case,general type,special type
48,Composition is a _____ form of aggregation,Easy,1,Evaluation-Android,more restrictive,general,more restrictive,special,all
49,Data type specifies ,Easy,1,Evaluation-Android,both,size,type ,both,none
50,Java language is ____  in its data types,Easy,1,Evaluation-Android,rich,medium,same as C++,rich,poor
51,Data types in Java are classified into ___  types,Easy,1,Evaluation-Android,2,2,3,4,8
52,Primitive type— which include,Easy,1,Evaluation-Android,all,Integer,Character,Boolean,all
53,Array is a ___ type,Easy,1,Evaluation-Android,Non-primitive,Primitive,Non-primitive,Basic,none
54,"Non-primitive, which is not included",Easy,1,Evaluation-Android,none,Classes,Interfaces,Arrays,none
55,An integer  ,Easy,1,Evaluation-Android,all,0,-2048,10,all
56,String is basically an _____  that represents sequence of char value,Easy,1,Evaluation-Android,object,variable,objects,both,none
57,______ type is a double-precision 64-bit IEEE 754 floating point,Easy,1,Evaluation-Android,double data,float data,double data,long float data,none
58,Data type should never be used for ____  such as currency,Easy,1,Evaluation-Android,precise values,large value,precise values,small value,none
59,There are _____ main categories of control flow statements,Easy,1,Evaluation-Android,3,2,3,4,5
60,Selection statements:  ,Easy,1,Evaluation-Android,both,if,switch,both,none
61,Loop statements:,Easy,1,Evaluation-Android,all,while,do-while,for,all
62,Transfer statements:,Easy,1,Evaluation-Android,all,break,return,try-catch,all
63,Use ____  when we want to change the default sequential order of execution,Easy,1,Evaluation-Android,control statement,break,control statement,continue,none
64, “if” statement in Java works _____  like in most programming languages.,Easy,1,Evaluation-Android,exactly,little bit same,exactly,differently,none
65,Using  “if” you can choose to execute a specific block of code when a predefined condition is ____,Easy,1,Evaluation-Android,all,1,met,TRUE,all
66,Java provides _____ repetition statements/loop statements,Easy,1,Evaluation-Android,3,2,3,4,5
67,"Repetitively performing a set of statements as long as the continuation condition remains true, using",Easy,1,Evaluation-Android,for,for,do .. while,both,none
68,looping statements are  ,Easy,1,Evaluation-Android,none,for,while,do...while,none
69,for statements perform the repetition,Easy,1,Evaluation-Android,all,zero,one,infinite,all
70,while’ statements perform the repetition,Easy,1,Evaluation-Android,zero,zero,always one,always mone than one,all
71,‘do...while’ loop is ____ ,Easy,1,Evaluation-Android,slightly different,slightly different,same as while,same as for,none
72,A  ___  statement allows a variable to be tested for equality against a list of values,Easy,1,Evaluation-Android,switch,for,while ,if,switch
73,"In switch, each value is",Easy,1,Evaluation-Android,constant,variable,constant,both,none
74,The ‘break’ statement in Java programming _____  usages,Easy,1,Evaluation-Android,2,1,2,3,4
75," The‘break’ statement is encountered inside then, the loop is immediately ",Easy,1,Evaluation-Android,terminate,skip current ,terminate,go next,all
76,The ‘continue’ keyword can be used in any of the ____ control structures,Easy,1,Evaluation-Android,loop,condition,loop,both,none
77,For ‘continue’ keyword immediately _____ of the loop,Easy,1,Evaluation-Android, jump to the next iteration,terminate, jump to the next iteration,both,none
78,Method is a collection of ______  that are grouped together to perform an operation.,Easy,1,Evaluation-Android,statements,variables,class,models,all
79,Constructed data types you define yourself using,Medium,1,Evaluation-Android,both,structs,unions,both,none
80, A typedef can be used to assign a ____ to a specific type ,Medium,1,Evaluation-Android,name,variable,name,constant,all
81,"What are the functionalities in asyncTask in
 android?",Easy,1," Input,
Variables, Operations",d,a. onPreExecution(),b.doInBackground(),c.onProgressUpdate(),"d.onPostExecution()

"
82,What type of language java is?,Medium,1," Input,
Variables, Operations",b,a.weakly,b.strongly,c.modarate,d.none
83,How many primtive datatype in android?,Hard,1," Input,
Variables, Operations",c,a.6,b.7,c.8,d.9
84,"In java short, long , int all are called……….?",Expert,1," Input,
Variables, Operations",a,a.signed,b.unsigned,c.both,d.none
85,What us the size of int in android?,Easy,1," Input,
Variables, Operations",b,a.16 bits,b.32 bits,c.64 bits,d.depends on situation
86,What is the smallest int type?,Medium,1," Input,
Variables, Operations",b,a.short,b.byte,c.bit,d.none
87,Which type autometic conversion will possible?,Hard,1," Input,
Variables, Operations",c,a.short to int,b.byte to int,c.int to long,d.long to int
88,What is the size of short variable?,Expert,1," Input,
Variables, Operations",c,a.8 bits,b. 16 bits,c. 32 bits,d. 64 bits
89,What is the default value of int variable?,Easy,1," Input,
Variables, Operations",a,a.0,b.0.0,c.null,d.not defined
90,Static binding uses which information for binding?,Medium,1," Input,
Variables, Operations",a,a.type,b.object,c.both,d.none
91,Which of the following is a marker interface?,Hard,1," Input,
Variables, Operations",a,a.serializable,b.comparable,c.cloneable,d.none
92,"Which of the following is not an valid
 declaration of an array?",Expert,1," Input,
Variables, Operations",d,a.int [ ] a = new int [3],b.int a [ ] [ ] = new int [3] [3,c.int [ ] [ ] a = new int [3] [ ],d.int [ ] [ ] a = new int [ ] [3]
93, Size of an integer can be……?,Easy,1," Input,
Variables, Operations",a,a.-2^31 to 2^31-1,b. 0 to -2^16,c.-2^8 to 2^8-1,d. -2^15 to 2^15-1
94,"For which of the following data types the
 ValueOf() method is NOT overloaded in 
the string class?",Medium,1," Input,
Variables, Operations",d,a.Float,b.Boolean,c.Object,d.none
95,Which  method is handled Requests from Content Provider class?,Hard,1," Input,
Variables, Operations",d,a.on View,b.onSelect,c.onClick,d.ContentResolve
96,"What Android component that manages appearance and format
 on screen ?",Expert,1," Input,
Variables, Operations",d,a.fragment,b.intent,c.view,d.view
97,"Android library that provides access to UI
 pre-built elements such as buttons, lists,
 views etc. is",Easy,1," Input,
Variables, Operations",d,a.android.text,b.android.os,c.android.view,d.android.webkit
98,"A type of service provided by android that 
shows messages and alerts to user is….?",Medium,1," Input,
Variables, Operations",c,a.Content Providers,b.View System,c.Notifications Manager,d.Activity Manager
99,"Android is licensed under which open source licensing
 license?",Hard,1," Input,
Variables, Operations",b,a.Gnu’s GPL,b.Apache/MIT,c.OSS,d.Sourceforge
100,"Although most people’s first thought when they think of Android
 isGoogle, Android is not actually owned by Google. Who owns 
the Android platform?",Expert,1," Input,
Variables, Operations",c,a.Oracle Technology,b.Dalvik,c.Open Handset Alliance,d.none
101,"As an Android programmer, what version of Android should 
youuse as your minimum development target?",Easy,1," Input,
Variables, Operations",a,a.Versions 1.6 or 2.0,b.Versions 1.0 or 1.1 ,c.Versions 1.2 or 1.3,d.Versions 2.3 or 3.0
102,What was the first phone released that ran the Android OS?,Medium,1," Input,
Variables, Operations",b,a.Google gPhone,b.T-Mobile G1,c.Motorola Droid,d.HTC Hero
103,What is the JSON exception in android?,Hard,1," Input,
Variables, Operations",a,a.JSon Exception,b.Json Not found exception,c.Input not found exception,d.None of the above
104,How many levels of securities are there in android?,Expert,1," Input,
Variables, Operations",a,a.App level security and kernel level security,b. Android level security,c.Java level security,d.None of the above
105,What is the main difference between set and list in android?,Easy,1," Input,
Variables, Operations",d,a.Both are same,b.Set can't contain duplicate values,c.List may contain duplicate values,d.B & C
106,"Which of these is used to perform all input & output operations in
 Java?",Medium,1," Input,
Variables, Operations",a,a.streams,b.Variables,c.classes,d.Methods
107,What does AWT stands for?,Easy,1," Input,
Variables, Operations",c,a.All Window Tools,b.All Writing Tools,c.Abstract Window Toolkit,d.Abstract Writing Toolkit
108,Which of these is a type of stream in Java?,Medium,1," Input,
Variables, Operations",c,a.Integer stream,b.Short stream,c.Byte stream,d.Long stream
109," Which of these classes are used by Byte streams for input and 
output operation?",Medium,1," Input,
Variables, Operations",a,a.InputStream,b.InputOutputStream,c.Reader,"d.All of the mentioned
"
110,"Which of these classes are used by character streams for input and
 output operations?",Medium,1," Input,
Variables, Operations",b,a.InputStream,b.Writer,c.ReadStream,d.InputOutputStream
111,Which of these class is used to read from byte array?,Medium,1," Input,
Variables, Operations",d,a.InputStream,b.BufferedInputStream,c.ArrayInputStream.,d.ByteArrayInputStream.
112,Which exception is thrown by read() method?,Medium,1," Input,
Variables, Operations",a,a.IOException,b.InterruptedException,c.SystemException,d.InterruptedException
113,Which of these is used to read a string from the input stream?,Medium,1," Input,
Variables, Operations",d,a.get(),b.getl_ine(),c.read(),d.read_line()
114,"Which of these class is used to read characters and strings in Java
 from console?",Medium,1," Input,
Variables, Operations",a,a.BufferedReader,b.StringReader,c.BufferedStreamReader,d.InputStreamReader
115,"Which of these classes are used by Byte streams for input and
 output operation?",Medium,1," Input,
Variables, Operations",b,a.Reader,b.InputStream,c.InputOutputStream,d.All of the mentioned
116,Which of these class is implemented by FilterInputStream class?,Medium,1," Input,
Variables, Operations",a,a.FileInputStream,b.BufferedInputStream,c.InputStream,d.none
117,Which of these class contains the methods print() & println()?,Medium,1," Input,
Variables, Operations",d,a.System,b.System.out,c.BUfferedOutputStream,d.PrintStream
118,Which of these methods can be used to writing console output?,Easy,1," Input,
Variables, Operations",d,a.print(),b.println(),c.write(),d.all
119,"Which of these class is used to create an object whose character
 sequence is mutable?",Easy,1," Input,
Variables, Operations",b,a.String(),b.StringBuffer(),c.Both of the mentioned,d.None of the mentioned
120," Which of these method of class StringBuffer is used to reverse 
sequence of characters?",Easy,1," Input,
Variables, Operations",a,a.reverse(),b.reverseall(),c.Reverse(),d.reverseAll()
121,"Which of these classes are used by character streams output
 operations?",Easy,1," Input,
Variables, Operations",b,a.ReadStream,b.Writer,c.InputStream,d.InputOutputStream
122,How to store heavy structured data in android?,Easy,1," Input,
Variables, Operations",c,a.Shared Preferences,b.Cursor,c.SQlite database,"d.Not possible

"
123,What are the wake locks available in android?,Easy,1," Input,
Variables, Operations",d,a.PARTIAL_WAKE_LOCK,b.SCREEN_DIM_WAKE_LOCK,c.FULL_WAKE_LOCK,d.FULL_WAKE_LOCK
124,What is APK in android?,Easy,1," Input,
Variables, Operations",c,a. Android packages,b.Android pack,c. Android packaging kit,d.None of the above.
125,Fragment in Android can be found through,Easy,1," Input,
Variables, Operations",d,a.findByID(),b.findFragmentByID(),c.findFragmentByID(),d.FragmentManager.findFragmentByID()
126,Is it possible activity without UI in android?,Easy,1," Input,
Variables, Operations",b,"a.No, it's not possible","b.Yes,it's possible",c.We can't say,d.None of the above
127,How do you join two notifications in android?,Easy,1," Input,
Variables, Operations",d,a.Give same id for both notifications,b.Write notification code two times,c.It is not possible in android,d.A & C
128,How to move services to foreground in android?,Hard,1," Input,
Variables, Operations",d,a.Services always work in Foreground only,"b.No,We can't do this query",c.Using startService(Intent intent),d.startFordgroud
129,What are the functionalities in asyncTask in android?,Hard,1," Input,
Variables, Operations",a,a.onPostExecution(),b.onProgressUpdate(),c.onPreExecution(),d.doInBackground()
130,The fields in an interface are implicitly specified as…?,Hard,1," Input,
Variables, Operations",d,a.static only,b.protected,c. both static and final,d.none
131,What does AOAP stands for?,Hard,1," Input,
Variables, Operations",d,a.Android open stack programming,b.Android open system programming,c.Android open source protocol,d.Android open source project
